evt_dial_neg,evt_dial_pos,fric1_rpm,fric_set,shoot_mode
1,0,4900,4900.0,2
1,0,4865,4900.0,2
1,0,4911,4900.0,2
1,0,4871,4900.0,2
1,0,4873,4900.0,2
1,0,4890,4900.0,2
1,0,4873,4900.0,2
1,0,4903,4900.0,2
1,0,4903,4900.0,2
1,0,4859,4900.0,2
1,0,4877,4900.0,2
1,0,4909,4900.0,2
1,0,4865,4900.0,2
1,0,4911,4900.0,2
1,0,4867,4900.0,2
1,0,4865,4900.0,2
1,0,4896,4900.0,2
1,0,4869,4900.0,2
1,0,4900,4900.0,2
1,0,4882,4900.0,2
1,0,4877,4900.0,2
1,0,4898,4900.0,2
1,0,4917,4900.0,2
1,0,4907,4900.0,2
1,0,4905,4900.0,2
1,0,4871,4900.0,5
1,0,4854,4900.0,5
1,0,4900,4900.0,5
1,0,4863,4900.0,5
1,0,4894,4900.0,5
1,0,4882,4900.0,5
1,0,4869,4900.0,2
1,0,4909,4900.0,2
1,0,4873,4900.0,2
1,0,4903,4900.0,2
1,0,4873,4900.0,2
1,0,4888,4900.0,2
1,0,4905,4900.0,2
1,0,4903,4900.0,2
1,0,4859,4900.0,2
1,0,4890,4900.0,2
1,0,4888,4900.0,2
1,0,4865,4900.0,2
1,0,4913,4900.0,2
1,0,4871,4900.0,2
1,0,4892,4900.0,2
1,0,4879,4900.0,2
1,0,4884,4900.0,2
1,0,4907,4900.0,2
1,0,4882,4900.0,2
1,0,4896,4900.0,2
1,0,4873,4900.0,2
1,0,4873,4900.0,2
1,0,4863,4900.0,2
1,0,4915,4900.0,2
1,0,4871,4900.0,2
1,0,4879,4900.0,2
1,0,4884,4900.0,2
1,0,4879,4900.0,2
1,0,4903,4900.0,2
1,0,4879,4900.0,2
1,0,4886,4900.0,2
1,0,4886,4900.0,2
1,0,4871,4900.0,2
1,0,4905,4900.0,2
1,0,4867,4900.0,2
1,0,4905,4900.0,5
1,0,4890,4900.0,5
1,0,4877,4900.0,5
1,0,4873,4900.0,5
1,0,4900,4900.0,5
1,0,4875,4900.0,5
1,0,4873,4900.0,5
1,0,4900,4900.0,5
1,0,4873,4900.0,2
1,0,4905,4900.0,2
1,0,4869,4900.0,2
1,0,4896,4900.0,2
1,0,4896,4900.0,2
1,0,4879,4900.0,2
1,0,4909,4900.0,2
1,0,4848,4900.0,2
1,0,4879,4900.0,2
1,0,4884,4900.0,2
1,0,4909,4900.0,2
1,0,4871,4900.0,2
1,0,4898,4900.0,2
1,0,4871,4900.0,2
1,0,4886,4900.0,2
1,0,4905,4900.0,2
1,0,4879,4900.0,2
1,0,4903,4900.0,2
1,0,4861,4900.0,2
1,0,4871,4900.0,2
1,0,4894,4900.0,2
1,0,4869,4900.0,2
1,0,4915,4900.0,2
1,0,4879,4900.0,2
1,0,4875,4900.0,2
1,0,4907,4900.0,2
1,0,4907,4900.0,2
1,0,4882,4900.0,2
1,0,4898,4900.0,2
1,0,4873,4900.0,2
1,0,4871,4900.0,2
1,0,4900,4900.0,2
1,0,4867,4900.0,2
1,0,4911,4900.0,2
1,0,4884,4900.0,5
1,0,4873,4900.0,5
