rc_ch0,rc_ch2,rc_ch3,rc_s0,vt03_toe
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
0,0,0,3,0
