bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
35,0.0,0,0,6481504,6465944
