pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,yaw_mode
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-197,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-196,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-147,2,-0.241,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
-195,2,-0.24,-0.174,1
