bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,-5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,2,0,3920,3920,0.0,5.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
0,0.0,5,0,3920,3920,0.0,-15.0
