event_bits,evt_pause_cur,fric_set,shoot_mode
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1052928,1,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
1048832,0,0.0,0
